Time (s),Ch1 (V)
0.0290000,0.1463388
0.0291250,0.1415032
0.0292500,0.1439210
0.0293750,0.1439210
0.0295000,0.1487566
0.0296250,0.1439210
0.0297500,0.1439210
0.0298750,0.1415032
0.0300000,0.1463388
0.0301250,0.1415032
0.0302500,0.1415032
0.0303750,0.1197427
0.0305000,0.1439210
0.0306250,0.1415032
0.0307500,0.1487566
0.0308750,0.1463388
0.0310000,0.1415032
0.0311250,0.1390853
0.0312500,0.1487566
0.0313750,0.1463388
0.0315000,0.1439210
0.0316250,0.1415032
0.0317500,0.1269962
0.0318750,0.1487566
0.0320000,0.1366675
0.0321250,0.1415032
0.0322500,0.1463388
0.0323750,0.1390853
0.0325000,0.1415032
0.0326250,0.1390853
0.0327500,0.1463388
0.0328750,0.1463388
0.0330000,0.1463388
0.0331250,0.1439210
0.0332500,0.1463388
0.0333750,0.1439210
0.0335000,0.1487566
0.0336250,0.1463388
0.0337500,0.1487566
0.0338750,0.1439210
0.0340000,0.1487566
0.0341250,0.1463388
0.0342500,0.1439210
0.0343750,0.1487566
0.0345000,0.1415032
0.0346250,0.1366675
0.0347500,0.1415032
0.0348750,0.1439210
0.0350000,0.1463388
0.0351250,0.1463388
0.0352500,0.1439210
0.0353750,0.1439210
0.0355000,0.1415032
0.0356250,0.1415032
0.0357500,0.1439210
0.0358750,0.1463388
0.0360000,0.1463388
0.0361250,0.1463388
0.0362500,0.1439210
0.0363750,0.1439210
0.0365000,0.1487566
0.0366250,0.1415032
0.0367500,0.1487566
0.0368750,0.1463388
0.0370000,0.1487566
0.0371250,0.1415032
0.0372500,0.1463388
0.0373750,0.1463388
0.0375000,0.1415032
0.0376250,0.1487566
0.0377500,0.1487566
0.0378750,0.1487566
0.0380000,0.1487566
0.0381250,0.1487566
0.0382500,0.1415032
0.0383750,0.1487566
0.0385000,0.1487566
0.0386250,0.1439210
0.0387500,0.1366675
0.0388750,0.1487566
0.0390000,0.1463388
0.0391250,0.1680992
0.0392500,0.1463388
0.0393750,0.1487566
0.0395000,0.1439210
0.0396250,0.1487566
0.0397500,0.1535923
0.0398750,0.1511745
0.0400000,0.1511745
0.0401250,0.1487566
0.0402500,0.1439210
0.0403750,0.1511745
0.0405000,0.1439210
0.0406250,0.1511745
0.0407500,0.1753527
0.0408750,0.1487566
0.0410000,0.1487566
0.0411250,0.1511745
0.0412500,0.1487566
0.0413750,0.1535923
0.0415000,0.1487566
0.0416250,0.1511745
0.0417500,0.1535923
0.0418750,0.1584279
0.0420000,0.1535923
0.0421250,0.1511745
0.0422500,0.1511745
0.0423750,0.1511745
0.0425000,0.1535923
0.0426250,0.1535923
0.0427500,0.1560101
0.0428750,0.1753527
0.0430000,0.1560101
0.0431250,0.1584279
0.0432500,0.1680992
0.0433750,0.1632636
0.0435000,0.1632636
0.0436250,0.1656814
0.0437500,0.1656814
0.0438750,0.1680992
0.0440000,0.1705171
0.0441250,0.1729349
0.0442500,0.1753527
0.0443750,0.1753527
0.0445000,0.1850240
0.0446250,0.1801883
0.0447500,0.1874418
0.0448750,0.2164557
0.0450000,0.2019488
0.0451250,0.1995309
0.0452500,0.2092022
0.0453750,0.2140379
0.0455000,0.2188735
0.0456250,0.2164557
0.0457500,0.2212914
0.0458750,0.2357983
0.0460000,0.2430518
0.0461250,0.2430518
0.0462500,0.2623944
0.0463750,0.2744835
0.0465000,0.2865726
0.0466250,0.2938261
0.0467500,0.3059152
0.0468750,0.3228400
0.0470000,0.3228400
0.0471250,0.3542717
0.0472500,0.3711965
0.0473750,0.3857034
0.0475000,0.3953747
0.0476250,0.4171351
0.0477500,0.4268064
0.0478750,0.4461490
0.0480000,0.4775807
0.0481250,0.4945055
0.0482500,0.5186837
0.0483750,0.5501155
0.0485000,0.5670402
0.0486250,0.5912185
0.0487500,0.6226502
0.0488750,0.6637532
0.0490000,0.6879314
0.0491250,0.7290344
0.0492500,0.7677196
0.0493750,0.8112405
0.0495000,0.8378365
0.0496250,0.8620148
0.0497500,0.8910287
0.0498750,0.9393851
0.0500000,0.9877416
0.0501250,1.0095020
0.0502500,1.0578585
0.0503750,1.1086328
0.0505000,1.1231398
0.0506250,1.1835854
0.0507500,1.2053458
0.0508750,1.2609558
