Time (s),Ch1 (V)
0.0265000,1.5027382
0.0266000,1.4398748
0.0267000,1.3963539
0.0268000,1.3600866
0.0269000,1.3286548
0.0270000,1.2923875
0.0271000,1.2561201
0.0272000,1.2029280
0.0273000,1.1473180
0.0274000,1.1037972
0.0275000,1.0747833
0.0276000,1.0119199
0.0277000,1.0022486
0.0278000,0.9732347
0.0279000,0.9079534
0.0280000,0.8716861
0.0281000,0.8402544
0.0282000,0.8088226
0.0283000,0.7653018
0.0284000,0.7096918
0.0285000,0.6685888
0.0286000,0.6274858
0.0287000,0.6105611
0.0288000,0.5525333
0.0289000,0.5331907
0.0290000,0.4848342
0.0291000,0.4727451
0.0292000,0.4437312
0.0293000,0.4026282
0.0294000,0.3711965
0.0295000,0.3397647
0.0296000,0.2986617
0.0297000,0.2551409
0.0298000,0.2261270
0.0299000,0.1971131
0.0300000,0.1729349
0.0301000,0.1656814
0.0302000,0.1535923
0.0303000,0.1463388
0.0304000,0.1390853
0.0305000,0.1390853
0.0306000,0.1415032
0.0307000,0.1535923
0.0308000,0.1656814
0.0309000,0.1898596
0.0310000,0.1971131
0.0311000,0.2430518
0.0312000,0.2672300
0.0313000,0.2938261
0.0314000,0.3131687
0.0315000,0.3784499
0.0316000,0.3905391
0.0317000,0.4268064
0.0318000,0.4727451
0.0319000,0.5041768
0.0320000,0.5356085
0.0321000,0.5839650
0.0322000,0.6105611
0.0323000,0.6516641
0.0324000,0.7145275
0.0325000,0.7411236
0.0326000,0.7773909
0.0327000,0.8281652
0.0328000,0.8620148
0.0329000,0.9297139
0.0330000,0.9442208
0.0331000,1.0022486
0.0332000,1.0336803
0.0333000,1.0892902
0.0334000,1.1279754
0.0335000,1.1884210
0.0336000,1.2464488
0.0337000,1.2827162
0.0338000,1.3407440
0.0339000,1.3842648
0.0340000,1.4350391
0.0341000,1.4809778
0.0342000,1.4930669
0.0343000,1.5462590
0.0344000,1.5873620
0.0345000,1.6212116
0.0346000,1.6647324
0.0347000,1.7106711
0.0348000,1.7566097
0.0349000,1.8146375
0.0350000,1.8436514
0.0351000,1.8871722
0.0352000,1.9403644
0.0353000,1.9500357
0.0354000,2.0346595
0.0355000,2.0515843
0.0356000,2.1023586
0.0357000,2.1096121
0.0358000,2.1434616
0.0359000,2.1748933
0.0360000,2.1990716
0.0361000,2.2111607
0.0362000,2.2329211
0.0363000,2.2377567
0.0364000,2.2498459
0.0365000,2.2619350
0.0366000,2.2691885
0.0367000,2.2667706
0.0368000,2.1918181
0.0369000,2.2691885
0.0370000,2.2498459
0.0371000,2.2450102
0.0372000,2.2450102
0.0373000,2.2329211
0.0374000,2.2039072
0.0375000,2.1942359
0.0376000,2.1628042
0.0377000,2.1410438
0.0378000,2.1265368
0.0379000,2.0830160
0.0380000,2.0588378
0.0381000,2.0177347
0.0382000,1.9790496
0.0383000,1.9500357
0.0384000,1.8968435
0.0385000,1.8702475
0.0386000,1.8122197
0.0387000,1.7928771
0.0388000,1.7348493
0.0389000,1.6816572
0.0390000,1.6453898
0.0391000,1.6357185
0.0392000,1.5994512
0.0393000,1.5656016
0.0394000,1.4809778
0.0395000,1.4422926
0.0396000,1.4108609
0.0397000,1.3794292
0.0398000,1.3455796
0.0399000,1.3117301
0.0400000,1.2561201
0.0401000,1.2101815
0.0402000,1.1666606
0.0403000,1.1473180
0.0404000,1.0917081
0.0405000,1.0868724
0.0406000,1.0554407
0.0407000,1.0095020
0.0408000,0.9804882
0.0409000,0.9224604
0.0410000,0.9248782
0.0411000,0.8934465
0.0412000,0.8475078
0.0413000,0.8209118
0.0414000,0.7846444
0.0415000,0.7773909
0.0416000,0.7241988
0.0417000,0.7072740
0.0418000,0.6806780
0.0419000,0.6710067
0.0420000,0.6492462
0.0421000,0.6226502
0.0422000,0.6008898
0.0423000,0.5839650
0.0424000,0.5549511
0.0425000,0.5259372
0.0426000,0.5114303
0.0427000,0.4896698
0.0428000,0.4751629
0.0429000,0.4727451
0.0430000,0.4534025
0.0431000,0.4340599
0.0432000,0.4195529
0.0433000,0.4098816
0.0434000,0.3953747
0.0435000,0.3808678
0.0436000,0.3711965
0.0437000,0.3566895
0.0438000,0.3518539
0.0439000,0.3276756
0.0440000,0.3180043
0.0441000,0.3204222
0.0442000,0.3034974
0.0443000,0.2889904
0.0444000,0.2817370
0.0445000,0.2817370
0.0446000,0.2672300
0.0447000,0.2551409
0.0448000,0.2551409
0.0449000,0.2527231
0.0450000,0.2357983
0.0451000,0.2382161
0.0452000,0.2357983
0.0453000,0.2237092
0.0454000,0.2188735
0.0455000,0.2212914
0.0456000,0.2092022
0.0457000,0.2019488
0.0458000,0.2116201
0.0459000,0.1946953
0.0460000,0.1971131
0.0461000,0.1946953
0.0462000,0.1898596
0.0463000,0.1850240
0.0464000,0.1850240
0.0465000,0.1826062
0.0466000,0.1826062
0.0467000,0.1729349
0.0468000,0.1801883
0.0469000,0.1729349
0.0470000,0.1632636
0.0471000,0.1753527
0.0472000,0.1680992
0.0473000,0.1584279
0.0474000,0.1632636
0.0475000,0.1608458
0.0476000,0.1656814
0.0477000,0.1608458
0.0478000,0.1608458
0.0479000,0.1584279
0.0480000,0.1584279
0.0481000,0.1584279
0.0482000,0.1487566
0.0483000,0.1584279
0.0484000,0.1560101
0.0485000,0.1511745
0.0486000,0.1560101
0.0487000,0.1535923
0.0488000,0.1608458
0.0489000,0.1463388
0.0490000,0.1535923
0.0491000,0.1487566
0.0492000,0.1535923
0.0493000,0.1511745
0.0494000,0.1487566
0.0495000,0.1463388
0.0496000,0.1487566
0.0497000,0.1535923
