Time (s),Ch1 (V)
0.1325000,0.1511745
0.1330000,0.1560101
0.1335000,0.1463388
0.1340000,0.1487566
0.1345000,0.1535923
0.1350000,0.1511745
0.1355000,0.1560101
0.1360000,0.1535923
0.1365000,0.1511745
0.1370000,0.1560101
0.1375000,0.1850240
0.1380000,0.1560101
0.1385000,0.1632636
0.1390000,0.1656814
0.1395000,0.1801883
0.1400000,0.1850240
0.1405000,0.1898596
0.1410000,0.1922775
0.1415000,0.2140379
0.1420000,0.2212914
0.1425000,0.2357983
0.1430000,0.2696478
0.1435000,0.2720657
0.1440000,0.3059152
0.1445000,0.3228400
0.1450000,0.3470182
0.1455000,0.3615252
0.1460000,0.4098816
0.1465000,0.4364777
0.1470000,0.4534025
0.1475000,0.5162659
0.1480000,0.5622046
0.1485000,0.6081432
0.1490000,0.6419928
0.1495000,0.6976027
0.1500000,0.7169453
0.1505000,0.7532127
0.1510000,0.7653018
0.1515000,0.7725553
0.1520000,0.7604662
0.1525000,0.7483770
0.1530000,0.6927671
0.1535000,0.6685888
0.1540000,0.6299036
0.1545000,0.5283550
0.1550000,0.4824164
0.1555000,0.4388955
0.1560000,0.3566895
0.1565000,0.3180043
0.1570000,0.2478874
0.1575000,0.1971131
0.1580000,0.1729349
0.1585000,0.2430518
0.1590000,0.3083330
0.1595000,0.3566895
0.1600000,0.4002104
0.1605000,0.4727451
0.1610000,0.5211016
0.1615000,0.5549511
0.1620000,0.5791293
0.1625000,0.6105611
0.1630000,0.6395749
0.1635000,0.6468284
0.1640000,0.6492462
0.1645000,0.6492462
0.1650000,0.6347393
0.1655000,0.6105611
0.1660000,0.5936363
0.1665000,0.5525333
0.1670000,0.5259372
0.1675000,0.5041768
0.1680000,0.4848342
0.1685000,0.4630738
0.1690000,0.4243886
0.1695000,0.4002104
0.1700000,0.3881212
0.1705000,0.3566895
0.1710000,0.3300934
0.1715000,0.3107509
0.1720000,0.2986617
0.1725000,0.2914083
0.1730000,0.2769013
0.1735000,0.2575587
0.1740000,0.2503053
0.1745000,0.2527231
0.1750000,0.2382161
0.1755000,0.2261270
0.1760000,0.2188735
0.1765000,0.2067844
0.1770000,0.2067844
0.1775000,0.2019488
0.1780000,0.2140379
0.1785000,0.2188735
0.1790000,0.2285448
0.1795000,0.2382161
0.1800000,0.2599765
0.1805000,0.2720657
0.1810000,0.2889904
0.1815000,0.3010796
0.1820000,0.3107509
0.1825000,0.3349291
0.1830000,0.3615252
0.1835000,0.3905391
0.1840000,0.4147173
0.1845000,0.4558203
0.1850000,0.4703273
0.1855000,0.5211016
0.1860000,0.5404442
0.1865000,0.5694580
0.1870000,0.6371571
0.1875000,0.6613354
0.1880000,0.7072740
0.1885000,0.7241988
0.1890000,0.7314523
0.1895000,0.7362879
0.1900000,0.7362879
0.1905000,0.7411236
0.1910000,0.7024384
0.1915000,0.6419928
0.1920000,0.6057254
0.1925000,0.5742937
0.1930000,0.4848342
0.1935000,0.3905391
0.1940000,0.3760321
0.1945000,0.3034974
0.1950000,0.2744835
0.1955000,0.1826062
0.1960000,0.1656814
0.1965000,0.2164557
0.1970000,0.2672300
0.1975000,0.3542717
0.1980000,0.4292242
0.1985000,0.4630738
0.1990000,0.5476976
0.1995000,0.6105611
0.2000000,0.6564997
0.2005000,0.7169453
0.2010000,0.7072740
0.2015000,0.7725553
0.2020000,0.7580483
0.2025000,0.7556305
0.2030000,0.7314523
0.2035000,0.7024384
0.2040000,0.6734245
0.2045000,0.6589175
0.2050000,0.6202324
0.2055000,0.5501155
0.2060000,0.5259372
0.2065000,0.4920877
0.2070000,0.4098816
0.2075000,0.4316421
0.2080000,0.3929569
0.2085000,0.3784499
0.2090000,0.3325113
0.2095000,0.3252578
0.2100000,0.2962439
0.2105000,0.2769013
0.2110000,0.2744835
0.2115000,0.2575587
0.2120000,0.2406340
0.2125000,0.2309627
0.2130000,0.2261270
0.2135000,0.2164557
0.2140000,0.2019488
0.2145000,0.2043666
0.2150000,0.1971131
0.2155000,0.1922775
0.2160000,0.1850240
0.2165000,0.1826062
0.2170000,0.1801883
0.2175000,0.1729349
0.2180000,0.1753527
0.2185000,0.1729349
0.2190000,0.1801883
0.2195000,0.1777705
0.2200000,0.1898596
0.2205000,0.1898596
0.2210000,0.1946953
0.2215000,0.2043666
0.2220000,0.2092022
0.2225000,0.2164557
0.2230000,0.2285448
0.2235000,0.2357983
0.2240000,0.2430518
0.2245000,0.2599765
0.2250000,0.2744835
0.2255000,0.2914083
0.2260000,0.3010796
0.2265000,0.3228400
0.2270000,0.3470182
0.2275000,0.3760321
0.2280000,0.4074638
0.2285000,0.4147173
0.2290000,0.4654916
0.2295000,0.5017590
0.2300000,0.5283550
0.2305000,0.5815472
0.2310000,0.6129789
0.2315000,0.6395749
0.2320000,0.6589175
0.2325000,0.6710067
0.2330000,0.6782601
0.2335000,0.6685888
0.2340000,0.6540819
0.2345000,0.6178145
0.2350000,0.5694580
0.2355000,0.5186837
0.2360000,0.4558203
0.2365000,0.4243886
0.2370000,0.3639430
0.2375000,0.3107509
0.2380000,0.2309627
0.2385000,0.1729349
0.2390000,0.1560101
0.2395000,0.2212914
0.2400000,0.2769013
0.2405000,0.3542717
0.2410000,0.4316421
