Time (s),Ch1 (V)
0,undefined
0.0001000,undefined
0.0002000,undefined
0.0003000,undefined
0.0004000,undefined
0.0005000,undefined
0.0006000,undefined
0.0007000,undefined
0.0008000,undefined
0.0009000,undefined
0.0010000,undefined
0.0011000,undefined
0.0012000,undefined
0.0013000,undefined
0.0014000,undefined
0.0015000,undefined
0.0016000,undefined
0.0017000,undefined
0.0018000,undefined
0.0019000,undefined
0.0269000,0.2067844
0.0270000,0.2237092
0.0271000,0.2309627
0.0272000,0.2454696
0.0273000,0.2623944
0.0274000,0.2769013
0.0275000,0.2889904
0.0276000,0.3010796
0.0277000,0.3083330
0.0278000,0.3349291
0.0279000,0.3470182
0.0280000,0.3711965
0.0281000,0.3808678
0.0282000,0.3953747
0.0283000,0.4074638
0.0284000,0.4268064
0.0285000,0.4292242
0.0286000,0.4413134
0.0287000,0.4509847
0.0288000,0.4751629
0.0289000,0.4848342
0.0290000,0.4969233
0.0291000,0.5041768
0.0292000,0.5065946
0.0293000,0.5186837
0.0294000,0.5259372
0.0295000,0.5380263
0.0296000,0.5501155
0.0297000,0.5694580
0.0298000,0.5622046
0.0299000,0.5646224
0.0300000,0.5767115
0.0301000,0.5767115
0.0302000,0.5839650
0.0303000,0.5839650
0.0304000,0.5863828
0.0305000,0.5888006
0.0306000,0.5888006
0.0307000,0.5936363
0.0308000,0.5888006
0.0309000,0.5863828
0.0310000,0.6081432
0.0311000,0.5839650
0.0312000,0.5863828
0.0313000,0.5839650
0.0314000,0.5839650
0.0315000,0.5742937
0.0316000,0.5718759
0.0317000,0.5597867
0.0318000,0.5646224
0.0319000,0.5549511
0.0320000,0.5476976
0.0321000,0.5380263
0.0322000,0.4654916
0.0323000,0.5259372
0.0324000,0.5186837
0.0325000,0.5162659
0.0326000,0.5041768
0.0327000,0.5017590
0.0328000,0.4872520
0.0329000,0.4775807
0.0330000,0.4751629
0.0331000,0.4630738
0.0332000,0.4872520
0.0333000,0.4534025
0.0334000,0.4388955
0.0335000,0.4243886
0.0336000,0.4243886
0.0337000,0.4219708
0.0338000,0.4219708
0.0339000,0.4074638
0.0340000,0.3977925
0.0341000,0.3953747
0.0342000,0.3905391
0.0343000,0.3784499
0.0344000,0.3711965
0.0345000,0.3639430
0.0346000,0.3639430
0.0347000,0.3494360
0.0348000,0.3446004
0.0349000,0.3349291
0.0350000,0.3325113
0.0351000,0.3228400
0.0352000,0.3180043
0.0353000,0.3131687
0.0354000,0.3083330
0.0355000,0.3059152
0.0356000,0.3325113
0.0357000,0.3010796
0.0358000,0.2938261
0.0359000,0.2889904
0.0360000,0.2841548
0.0361000,0.2817370
0.0362000,0.2744835
0.0363000,0.2744835
0.0364000,0.2696478
0.0365000,0.2672300
0.0366000,0.2623944
0.0367000,0.2599765
0.0368000,0.2551409
0.0369000,0.2527231
0.0370000,0.2599765
0.0371000,0.2430518
0.0372000,0.2430518
0.0373000,0.2406340
0.0374000,0.2357983
0.0375000,0.2357983
0.0376000,0.2285448
0.0377000,0.2333805
0.0378000,0.2285448
0.0379000,0.2237092
0.0380000,0.2212914
0.0381000,0.2164557
0.0382000,0.2188735
0.0383000,0.1946953
0.0384000,0.2116201
0.0385000,0.2164557
0.0386000,0.2092022
0.0387000,0.2092022
0.0388000,0.2019488
0.0389000,0.2019488
0.0390000,0.1995309
0.0391000,0.1971131
0.0392000,0.1971131
0.0393000,0.1971131
0.0394000,0.1995309
0.0395000,0.1946953
0.0396000,0.1946953
0.0397000,0.1922775
0.0398000,0.1922775
0.0399000,0.1874418
0.0400000,0.1874418
0.0401000,0.1898596
0.0402000,0.1826062
0.0403000,0.1777705
0.0404000,0.1801883
0.0405000,0.1753527
0.0406000,0.1777705
0.0407000,0.1801883
0.0408000,0.1753527
0.0409000,0.1729349
0.0410000,0.1777705
0.0411000,0.1729349
0.0412000,0.1729349
0.0413000,0.1729349
0.0414000,0.1729349
0.0415000,0.1705171
0.0416000,0.1705171
0.0417000,0.1729349
0.0418000,0.1753527
0.0419000,0.1680992
0.0420000,0.1777705
0.0421000,0.1705171
0.0422000,0.1656814
0.0423000,0.1632636
0.0424000,0.1608458
0.0425000,0.1632636
0.0426000,0.1705171
0.0427000,0.1632636
0.0428000,0.1632636
0.0429000,0.1680992
0.0430000,0.1584279
0.0431000,0.1632636
0.0432000,0.1705171
0.0433000,0.1584279
0.0434000,0.1608458
0.0435000,0.1584279
0.0436000,0.1584279
0.0437000,0.1608458
0.0438000,0.1584279
0.0439000,0.1560101
0.0440000,0.1584279
0.0441000,0.1656814
0.0442000,0.1608458
0.0443000,0.1608458
0.0444000,0.1608458
0.0445000,0.1584279
0.0446000,0.1415032
0.0447000,0.1584279
0.0448000,0.1584279
0.0449000,0.1584279
0.0450000,0.1608458
0.0451000,0.1560101
0.0452000,0.1608458
0.0453000,0.1608458
0.0454000,0.1560101
0.0455000,0.1584279
0.0456000,0.1584279
0.0457000,0.1535923
0.0458000,0.1584279
0.0459000,0.1511745
0.0460000,0.1584279
0.0461000,0.1608458
0.0462000,0.1584279
0.0463000,0.1560101
0.0464000,0.1535923
0.0465000,0.1898596
0.0466000,0.1560101
0.0467000,0.1560101
0.0468000,0.1535923
0.0469000,0.1777705
0.0470000,0.1632636
0.0471000,0.1584279
0.0472000,0.1560101
0.0473000,0.1535923
0.0474000,0.1632636
0.0475000,0.1560101
0.0476000,0.1535923
0.0477000,0.1608458
0.0478000,0.1608458
0.0479000,0.1535923
0.0480000,0.1560101
0.0481000,0.1535923
0.0482000,0.1535923
0.0483000,0.1584279
0.0484000,0.1584279
0.0485000,0.1535923
0.0486000,0.1560101
0.0487000,0.1584279
0.0488000,0.1608458
0.0489000,0.1584279
0.0490000,0.1535923
0.0491000,0.1560101
0.0492000,0.1608458
0.0493000,0.1535923
0.0494000,0.1584279
0.0495000,0.1584279
0.0496000,0.1560101
0.0497000,0.1560101
0.0498000,0.1584279
0.0499000,0.1560101
0.0500000,0.1584279
0.0501000,0.1705171
0.0502000,0.1608458
0.0503000,0.1608458
0.0504000,0.1584279
0.0505000,0.1656814
0.0506000,0.1608458
0.0507000,0.1584279
0.0508000,0.1584279
0.0509000,0.1608458
0.0510000,0.1632636
0.0511000,0.1560101
0.0512000,0.1535923
0.0513000,0.1584279
0.0514000,0.1705171
0.0515000,0.1560101
0.0516000,0.1560101
0.0517000,0.1584279
0.0518000,0.1560101
0.0519000,0.1584279
0.0520000,0.1560101
0.0521000,0.1535923
0.0522000,0.1535923
0.0523000,0.1560101
0.0524000,0.1584279
0.0525000,0.1560101
0.0526000,0.1584279
0.0527000,0.1511745
0.0528000,0.1511745
0.0529000,0.1535923
0.0530000,0.1584279
0.0531000,0.1560101
0.0532000,0.1487566
0.0533000,0.1560101
0.0534000,0.1584279
0.0535000,0.1608458
0.0536000,0.1560101
0.0537000,0.1511745
0.0538000,0.1584279
0.0539000,0.1535923
0.0540000,0.1560101
0.0541000,0.1535923
0.0542000,0.1584279
0.0543000,0.1511745
0.0544000,0.1584279
0.0545000,0.1608458
0.0546000,0.1608458
0.0547000,0.1584279
0.0548000,0.1560101
0.0549000,0.1680992
0.0550000,0.1560101
0.0551000,0.1608458
0.0552000,0.1535923
0.0553000,0.1560101
0.0554000,0.1584279
0.0555000,0.1608458
0.0556000,0.1584279
0.0557000,0.1584279
0.0558000,0.1560101
0.0559000,0.1535923
0.0560000,0.1560101
0.0561000,0.1535923
0.0562000,0.1560101
0.0563000,0.1535923
0.0564000,0.1560101
0.0565000,0.1560101
0.0566000,0.1584279
0.0567000,0.1511745
0.0568000,0.1584279
0.0569000,0.1487566
0.0570000,0.1608458
0.0571000,0.1560101
0.0572000,0.1608458
0.0573000,0.1584279
0.0574000,0.1608458
0.0575000,0.1560101
0.0576000,0.1535923
0.0577000,0.1535923
0.0578000,0.1584279
0.0579000,0.1535923
0.0580000,0.1560101
0.0581000,0.1584279
0.0582000,0.1535923
0.0583000,0.1560101
0.0584000,0.1560101
0.0585000,0.1584279
0.0586000,0.1584279
0.0587000,0.1560101
0.0588000,0.1535923
0.0589000,0.1608458
0.0590000,0.1584279
0.0591000,0.1560101
0.0592000,0.1584279
0.0593000,0.1584279
0.0594000,0.1584279
0.0595000,0.1535923
0.0596000,0.1535923
0.0597000,0.1584279
0.0598000,0.1560101
0.0599000,0.1608458
0.0600000,0.1487566
0.0601000,0.1560101
0.0602000,0.1584279
0.0603000,0.1535923
0.0604000,0.1608458
0.0605000,0.1535923
0.0606000,0.1608458
0.0607000,0.1535923
0.0608000,0.1535923
0.0609000,0.1584279
0.0610000,0.1535923
