Time (s),Ch1 (V),Ch2 (V)
0.0220000,0.1705171,0.1777705
0.0221250,0.1656814,0.1729349
0.0222500,0.1777705,0.1777705
0.0223750,0.1680992,0.1511745
0.0225000,0.1705171,0.1729349
0.0226250,0.1680992,0.1729349
0.0227500,0.1608458,0.1705171
0.0228750,0.1705171,0.1946953
0.0230000,0.1632636,0.1729349
0.0231250,0.1680992,0.1753527
0.0232500,0.1680992,0.1753527
0.0233750,0.1705171,0.1705171
0.0235000,0.1729349,0.1777705
0.0236250,0.1584279,0.1680992
0.0237500,0.1656814,0.1705171
0.0238750,0.1680992,0.1777705
0.0240000,0.1680992,0.1753527
0.0241250,0.1632636,0.1680992
0.0242500,0.1898596,0.1777705
0.0243750,0.1729349,0.1753527
0.0245000,0.1680992,0.1729349
0.0246250,0.1632636,0.1705171
0.0247500,0.1705171,0.1729349
0.0248750,0.1680992,0.1753527
0.0250000,0.1608458,0.1777705
0.0251250,0.1608458,0.1705171
0.0252500,0.1753527,0.1946953
0.0253750,0.1729349,0.1729349
0.0255000,0.1705171,0.1753527
0.0256250,0.1705171,0.1777705
0.0257500,0.1729349,0.1753527
0.0258750,0.1705171,0.1753527
0.0260000,0.1705171,0.1753527
0.0261250,0.1632636,0.1680992
0.0262500,0.1729349,0.1535923
0.0263750,0.1680992,0.1705171
0.0265000,0.1632636,0.1705171
0.0266250,0.1680992,0.1729349
0.0267500,0.1656814,0.1680992
0.0268750,0.1656814,0.1729349
0.0270000,0.1753527,0.1753527
0.0271250,0.1632636,0.1705171
0.0272500,0.1705171,0.1753527
0.0273750,0.1729349,0.1729349
0.0275000,0.1777705,0.1801883
0.0276250,0.1705171,0.1705171
0.0277500,0.1656814,0.1777705
0.0278750,0.1753527,0.1777705
0.0280000,0.1729349,0.1753527
0.0281250,0.1705171,0.1753527
0.0282500,0.1656814,0.1753527
0.0283750,0.1705171,0.1705171
0.0285000,0.1656814,0.2043666
0.0286250,0.1729349,0.1777705
0.0287500,0.1656814,0.1705171
0.0288750,0.1705171,0.1801883
0.0290000,0.1729349,0.1729349
0.0291250,0.1729349,0.1729349
0.0292500,0.1729349,0.1729349
0.0293750,0.1680992,0.1729349
0.0295000,0.1656814,0.1753527
0.0296250,0.1632636,0.1753527
0.0297500,0.1705171,0.1753527
0.0298750,0.1729349,0.1777705
0.0300000,0.1705171,0.1777705
0.0301250,0.1753527,0.1705171
0.0302500,0.1680992,0.1729349
0.0303750,0.1729349,0.1753527
0.0305000,0.1753527,0.1777705
0.0306250,0.1705171,0.1753527
0.0307500,0.1632636,0.1656814
0.0308750,0.1608458,0.1729349
0.0310000,0.1680992,0.1729349
0.0311250,0.1680992,0.1729349
0.0312500,0.1656814,0.1729349
0.0313750,0.1656814,0.1705171
0.0315000,0.1680992,0.1729349
0.0316250,0.1584279,0.1753527
0.0317500,0.1753527,0.1777705
0.0318750,0.1705171,0.1753527
0.0320000,0.1777705,0.1826062
0.0321250,0.1680992,0.1753527
0.0322500,0.1705171,0.1753527
0.0323750,0.1705171,0.1777705
0.0325000,0.1729349,0.1777705
0.0326250,0.1753527,0.1801883
0.0327500,0.1680992,0.1729349
0.0328750,0.1680992,0.1753527
0.0330000,0.1680992,0.1729349
0.0331250,0.1680992,0.1753527
0.0332500,0.1729349,0.1777705
0.0333750,0.1656814,0.1777705
0.0335000,0.1705171,0.1753527
0.0336250,0.1608458,0.1753527
0.0337500,0.1680992,0.1777705
0.0338750,0.1705171,0.1753527
0.0340000,0.1705171,0.1801883
0.0341250,0.1705171,0.1753527
0.0342500,0.1705171,0.1753527
0.0343750,0.1632636,0.1705171
0.0345000,0.1656814,0.1729349
0.0346250,0.1705171,0.1753527
0.0347500,0.1705171,0.1753527
0.0348750,0.1680992,0.1753527
0.0350000,0.1753527,0.1729349
